Population;en;pm;distance
100;0.5;0.1;45.594
100;0.5;0.5;46.456
100;0.5;0.3;44.991
100;0.7;0.1;43.958
100;0.7;0.5;43.794
100;0.7;0.3;44.611
100;0.9;0.1;44.769
100;0.9;0.5;43.958
100;0.9;0.3;44.122
500;0.5;0.1;43.809
500;0.5;0.5;43.718
500;0.5;0.3;43.629
500;0.7;0.1;44.286
500;0.7;0.5;43.629
500;0.7;0.3;43.794
500;0.9;0.1;43.794
500;0.9;0.5;43.629
500;0.9;0.3;43.629
300;0.5;0.1;43.999
300;0.5;0.5;44.344
300;0.5;0.3;43.855
300;0.7;0.1;44.447
300;0.7;0.5;43.794
300;0.7;0.3;44.122
300;0.9;0.1;43.794
300;0.9;0.5;43.794
300;0.9;0.3;43.958
